ID,AMOUNT,RESULT
1,56,WIN
2,23,LOSS
3,42,LOSS
4,23,WIN
5,33,LOSS
6,23,LOSS
7,40,LOSS
8,15,WIN
9,2,LOSS
10,29,LOSS
11,1,WIN
12,2,WIN
13,2,LOSS
